timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1757976306748,48,HTTP Request-1,200,OK,Saucedemo_QA 1-14,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306708,94,HTTP Request,200,OK,Saucedemo_QA 1-1,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306708,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-1,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
1757976306755,47,HTTP Request-1,200,OK,Saucedemo_QA 1-1,text,true,,3321,119,50,50,https://www.saucedemo.com/,46,0,0
1757976306704,99,HTTP Request,200,OK,Saucedemo_QA 1-25,text,true,,3979,234,50,50,https://www.saucedemo.com/,50,0,0
1757976306704,50,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-25,text,true,,658,115,50,50,http://saucedemo.com/,50,0,0
1757976306754,49,HTTP Request-1,200,OK,Saucedemo_QA 1-25,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306708,101,HTTP Request,200,OK,Saucedemo_QA 1-24,text,true,,3979,234,50,50,https://www.saucedemo.com/,53,0,0
1757976306708,53,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-24,text,true,,658,115,50,50,http://saucedemo.com/,53,0,0
1757976306761,48,HTTP Request-1,200,OK,Saucedemo_QA 1-24,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306715,100,HTTP Request,200,OK,Saucedemo_QA 1-7,text,true,,3979,234,50,50,https://www.saucedemo.com/,51,0,0
1757976306715,51,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-7,text,true,,658,115,50,50,http://saucedemo.com/,51,0,0
1757976306766,49,HTTP Request-1,200,OK,Saucedemo_QA 1-7,text,true,,3321,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306721,104,HTTP Request,200,OK,Saucedemo_QA 1-13,text,true,,3979,234,50,50,https://www.saucedemo.com/,56,0,0
1757976306721,56,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-13,text,true,,658,115,50,50,http://saucedemo.com/,56,0,0
1757976306778,47,HTTP Request-1,200,OK,Saucedemo_QA 1-13,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306723,103,HTTP Request,200,OK,Saucedemo_QA 1-9,text,true,,3980,234,50,50,https://www.saucedemo.com/,56,0,0
1757976306723,56,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-9,text,true,,658,115,50,50,http://saucedemo.com/,56,0,0
1757976306779,47,HTTP Request-1,200,OK,Saucedemo_QA 1-9,text,true,,3322,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306719,108,HTTP Request,200,OK,Saucedemo_QA 1-22,text,true,,3979,234,50,50,https://www.saucedemo.com/,59,0,0
1757976306719,59,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-22,text,true,,658,115,50,50,http://saucedemo.com/,59,0,0
1757976306778,49,HTTP Request-1,200,OK,Saucedemo_QA 1-22,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
